hero_id,hero_name,role,rank,input,region,winrate,pickrate,banrate
winston,Winston,TANK,Bronze,Console,Europe,53.6,1.8,0.9
wrecking-ball,Wrecking Ball,TANK,Bronze,Console,Europe,47.4,1.8,3.1
wuyang,Wuyang,SUPPORT,Bronze,Console,Europe,42.8,4.5,0.1
zarya,Zarya,TANK,Bronze,Console,Europe,53.5,2.1,22.0
zenyatta,Zenyatta,SUPPORT,Bronze,Console,Europe,54.3,14.9,1.4
ana,Ana,SUPPORT,Bronze,Console,Asia,50.5,24.0,3.0
anran,Anran,DAMAGE,Bronze,Console,Asia,54.1,8.9,3.5
ashe,Ashe,DAMAGE,Bronze,Console,Asia,49.1,15.4,0.9
baptiste,Baptiste,SUPPORT,Bronze,Console,Asia,48.7,9.7,0.1
bastion,Bastion,DAMAGE,Bronze,Console,Asia,49.4,19.1,2.2
brigitte,Brigitte,SUPPORT,Bronze,Console,Asia,44.7,2.8,0.1
cassidy,Cassidy,DAMAGE,Bronze,Console,Asia,48.1,7.8,1.0
dmon,D.Mon,TANK,Bronze,Console,Asia,52.9,8.2,16.4
dva,D.Va,TANK,Bronze,Console,Asia,49.0,9.4,7.5
domina,Domina,TANK,Bronze,Console,Asia,51.3,4.9,3.8
doomfist,Doomfist,TANK,Bronze,Console,Asia,49.7,3.4,5.0
echo,Echo,DAMAGE,Bronze,Console,Asia,47.0,3.0,0.9
emre,Emre,DAMAGE,Bronze,Console,Asia,44.3,6.8,0.3
freja,Freja,DAMAGE,Bronze,Console,Asia,47.3,5.8,6.8
genji,Genji,DAMAGE,Bronze,Console,Asia,49.6,4.9,1.6
hanzo,Hanzo,DAMAGE,Bronze,Console,Asia,50.2,4.2,0.2
hazard,Hazard,TANK,Bronze,Console,Asia,38.4,2.2,0.3
illari,Illari,SUPPORT,Bronze,Console,Asia,51.1,6.2,0.1
jetpack-cat,Jetpack Cat,SUPPORT,Bronze,Console,Asia,52.6,3.5,73.5
junker-queen,Junker Queen,TANK,Bronze,Console,Asia,48.6,2.1,0.1
junkrat,Junkrat,DAMAGE,Bronze,Console,Asia,51.0,6.7,1.2
juno,Juno,SUPPORT,Bronze,Console,Asia,52.5,37.2,0.4
kiriko,Kiriko,SUPPORT,Bronze,Console,Asia,45.3,32.7,0.4
lifeweaver,Lifeweaver,SUPPORT,Bronze,Console,Asia,41.7,4.4,0.1
lucio,Lúcio,SUPPORT,Bronze,Console,Asia,51.6,3.7,0.0
mauga,Mauga,TANK,Bronze,Console,Asia,43.6,5.8,6.8
mei,Mei,DAMAGE,Bronze,Console,Asia,52.1,7.2,2.0
mercy,Mercy,SUPPORT,Bronze,Console,Asia,46.1,7.5,0.5
mizuki,Mizuki,SUPPORT,Bronze,Console,Asia,50.9,12.3,1.1
moira,Moira,SUPPORT,Bronze,Console,Asia,51.2,31.7,8.4
orisa,Orisa,TANK,Bronze,Console,Asia,50.3,21.5,14.5
pharah,Pharah,DAMAGE,Bronze,Console,Asia,48.1,3.9,6.2
ramattra,Ramattra,TANK,Bronze,Console,Asia,51.0,10.0,4.5
reaper,Reaper,DAMAGE,Bronze,Console,Asia,55.6,10.3,2.4
reinhardt,Reinhardt,TANK,Bronze,Console,Asia,48.9,7.1,2.6
roadhog,Roadhog,TANK,Bronze,Console,Asia,37.9,3.8,1.4
shion,Shion,DAMAGE,Bronze,Console,Asia,47.7,10.4,0.8
sierra,Sierra,DAMAGE,Bronze,Console,Asia,51.2,29.9,16.0
sigma,Sigma,TANK,Bronze,Console,Asia,53.7,12.7,8.1
sojourn,Sojourn,DAMAGE,Bronze,Console,Asia,43.0,15.9,0.4
soldier-76,Soldier: 76,DAMAGE,Bronze,Console,Asia,53.0,13.4,0.3
sombra,Sombra,DAMAGE,Bronze,Console,Asia,54.9,1.3,89.9
symmetra,Symmetra,DAMAGE,Bronze,Console,Asia,52.2,3.4,13.9
torbjorn,Torbjörn,DAMAGE,Bronze,Console,Asia,53.8,7.0,1.4
tracer,Tracer,DAMAGE,Bronze,Console,Asia,50.4,4.8,32.8
vendetta,Vendetta,DAMAGE,Bronze,Console,Asia,49.4,3.3,1.2
venture,Venture,DAMAGE,Bronze,Console,Asia,44.5,1.2,0.0
widowmaker,Widowmaker,DAMAGE,Bronze,Console,Asia,44.5,5.5,2.6
winston,Winston,TANK,Bronze,Console,Asia,52.5,4.1,4.8
wrecking-ball,Wrecking Ball,TANK,Bronze,Console,Asia,49.8,2.6,18.8
wuyang,Wuyang,SUPPORT,Bronze,Console,Asia,47.8,7.8,0.1
zarya,Zarya,TANK,Bronze,Console,Asia,51.0,2.4,53.8
zenyatta,Zenyatta,SUPPORT,Bronze,Console,Asia,53.1,16.5,1.3
ana,Ana,SUPPORT,Silver,PC,Americas,49.0,19.2,9.3
anran,Anran,DAMAGE,Silver,PC,Americas,52.1,9.7,32.2
ashe,Ashe,DAMAGE,Silver,PC,Americas,50.3,10.5,0.9
baptiste,Baptiste,SUPPORT,Silver,PC,Americas,47.3,6.0,0.2
bastion,Bastion,DAMAGE,Silver,PC,Americas,47.3,18.5,5.3
brigitte,Brigitte,SUPPORT,Silver,PC,Americas,50.7,4.1,0.1
cassidy,Cassidy,DAMAGE,Silver,PC,Americas,48.4,11.3,1.5
dmon,D.Mon,TANK,Silver,PC,Americas,56.7,9.3,20.1
dva,D.Va,TANK,Silver,PC,Americas,45.1,6.9,2.1
domina,Domina,TANK,Silver,PC,Americas,49.8,5.1,5.3
doomfist,Doomfist,TANK,Silver,PC,Americas,53.6,4.1,16.2
echo,Echo,DAMAGE,Silver,PC,Americas,47.0,3.6,0.5
emre,Emre,DAMAGE,Silver,PC,Americas,47.9,6.3,0.2
freja,Freja,DAMAGE,Silver,PC,Americas,46.5,5.2,4.1
genji,Genji,DAMAGE,Silver,PC,Americas,52.3,7.3,3.2
hanzo,Hanzo,DAMAGE,Silver,PC,Americas,50.8,7.6,0.6
hazard,Hazard,TANK,Silver,PC,Americas,51.0,2.1,0.8
illari,Illari,SUPPORT,Silver,PC,Americas,48.3,5.1,0.2
jetpack-cat,Jetpack Cat,SUPPORT,Silver,PC,Americas,50.0,5.3,47.8
junker-queen,Junker Queen,TANK,Silver,PC,Americas,52.6,3.7,0.4
junkrat,Junkrat,DAMAGE,Silver,PC,Americas,49.9,13.3,6.9
juno,Juno,SUPPORT,Silver,PC,Americas,51.1,25.1,0.5
kiriko,Kiriko,SUPPORT,Silver,PC,Americas,45.5,25.1,1.6
lifeweaver,Lifeweaver,SUPPORT,Silver,PC,Americas,49.0,12.9,0.3
lucio,Lúcio,SUPPORT,Silver,PC,Americas,49.9,6.5,0.5
mauga,Mauga,TANK,Silver,PC,Americas,43.1,4.9,22.2
mei,Mei,DAMAGE,Silver,PC,Americas,50.9,10.3,9.1
mercy,Mercy,SUPPORT,Silver,PC,Americas,48.6,19.0,5.7
mizuki,Mizuki,SUPPORT,Silver,PC,Americas,52.0,16.0,1.7
